,ID,Name,Gene Name,Species,Drug IDs
1,4,Coagulation factor XIII A chain,F13A1,Humans,DB11300; DB11311; DB11571; DB13151
2,5,"Nitric oxide synthase, inducible",NOS2,Humans,DB08814
3,8,"NAD(P) transhydrogenase, mitochondrial",NNT,Humans,DB09092
4,11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,Humans,DB09092
5,12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,Humans,DB00381; DB00568; DB00617; DB00909; DB04841
6,13,Adenosine receptor A1,ADORA1,Humans,DB00193; DB00201; DB00277; DB00640; DB00651; DB01223; DB01303
7,14,Tyrosine-protein kinase ABL1,ABL1,Humans,DB00619; DB01254; DB04868; DB06616; DB08896; DB08901; DB12597
8,15,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,Humans,DB00043; DB00895
9,16,Coagulation factor VIII,F8,Humans,DB00055; DB00100; DB11300; DB11312; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
10,17,Prostaglandin G/H synthase 1,PTGS1,Humans,DB00159; DB00244; DB00316; DB00586; DB00788; DB00795; DB00812; DB00870; DB00936; DB00939; DB00945; DB00991; DB01014; DB01050; DB01283; DB01399; DB01600; DB06725; DB06736; DB08814; DB09212; DB09216; DB11079; DB11201; DB11323; DB13346; DB13783
12,20,D(1A) dopamine receptor,DRD1,Humans,DB00353; DB00477; DB00508; DB00623; DB00679; DB00800; DB00850; DB00875; DB00988; DB01186; DB01235; DB01239; DB01608; DB01621; DB01623; DB01624
13,23,Vascular endothelial growth factor receptor 3,FLT4,Humans,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB11800
14,24,Amiloride-sensitive sodium channel subunit beta,SCNN1B,Humans,DB00384; DB00594
15,25,Collagen alpha-1(I) chain,COL1A1,Humans,DB00048; DB12872; DB13133
16,26,Tubulin beta-1 chain,TUBB1,Humans,DB00309; DB01229; DB01248; DB06772
17,27,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,Humans,DB09270
18,29,Vascular endothelial growth factor receptor 1,FLT1,Humans,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB10770; DB11800
19,30,Cystine/glutamate transporter,SLC7A11,Humans,DB00740; DB06151
20,33,Insulin receptor,INSR,Humans,DB00030; DB00046; DB00047; DB00071; DB01306; DB01307; DB01309; DB09129; DB09456; DB09564
22,36,RAF proto-oncogene serine/threonine-protein kinase,RAF1,Humans,DB00398; DB08896; DB08912
23,41,Coagulation factor V,F5,Humans,DB00055; DB11300; DB11312; DB11571; DB11572; DB13149; DB13151
24,42,Pyridoxal kinase,PDXK,Humans,DB00165
25,43,Endothelin B receptor,EDNRB,Humans,DB00559
26,45,Muscarinic acetylcholine receptor M3,CHRM3,Humans,DB00185; DB00332; DB00383; DB00387; DB00496; DB00517; DB00572; DB00725; DB00747; DB00986; DB01019; DB01036; DB01062; DB01085; DB01231; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09300; DB11181; DB12278; DB13720
27,46,Pyruvate kinase PKLR,PKLR,Humans,DB16236
